Feature,category
151958,vegetable/herb
152155,vegetable/herb
152234,vegetable/herb
152253,vegetable/herb
15230,fruit
152412,animal
152541,animal
1526,animal
152632,vegetable/herb
152752,animal
152942,animal
152982,vegetable/herb
153128,vegetable/herb
153205,vegetable/herb
153306,vegetable/herb
153323,vegetable/herb
153331,animal
153594,animal
153676,animal
153798,vegetable/herb
153874,animal
153940,animal
153978,animal
154212,vegetable/herb
154216,vegetable/herb
15422,animal
154293,vegetable/herb
154379,animal
154429,animal
154523,animal
154532,animal
154537,animal
154588,animal
154617,vegetable/herb
154677,vegetable/herb
154710,animal
154731,vegetable/herb
154765,vegetable/herb
154846,vegetable/herb
154876,vegetable/herb
15508,animal
15512,fruit
155138,animal
155336,vegetable/herb
155369,vegetable/herb
155644,animal
155646,vegetable/herb
155736,vegetable/herb
155875,animal
155905,vegetable/herb
15598,vegetable/herb
155987,animal
15602,animal
156234,vegetable/herb
156312,vegetable/herb
15636,animal
156433,vegetable/herb
156453,vegetable/herb
156455,vegetable/herb
15661,fruit
156634,vegetable/herb
156812,animal
156864,animal
156945,animal
156955,animal
156967,animal
157006,animal
157066,vegetable/herb
157127,animal
157219,animal
157224,animal
157246,vegetable/herb
157375,vegetable/herb
157447,animal
157937,animal
157956,vegetable/herb
15797,animal
157970,animal
158148,vegetable/herb
158292,vegetable/herb
158493,animal
158667,animal
158687,animal
158759,animal
158771,vegetable/herb
159,animal
159003,vegetable/herb
159017,vegetable/herb
159033,vegetable/herb
159137,animal
159144,animal
159158,animal
159178,vegetable/herb
159193,animal
159251,animal
159261,animal
159272,animal
159354,vegetable/herb
159395,vegetable/herb
159445,vegetable/herb
159498,vegetable/herb
159571,vegetable/herb
159675,animal
1597,animal
159753,vegetable/herb
159814,vegetable/herb
1599,animal
15990,vegetable/herb
159924,vegetable/herb
159932,animal
159969,vegetable/herb
160010,vegetable/herb
160160,animal
160194,vegetable/herb
160325,animal
160395,animal
160419,animal
160451,vegetable/herb
160460,vegetable/herb
160474,animal
160481,animal
1605,fruit
160512,animal
160524,animal
160533,animal
160590,animal
160646,vegetable/herb
160685,vegetable/herb
160695,vegetable/herb
160706,animal
160711,animal
160781,vegetable/herb
160880,vegetable/herb
160883,animal
160904,animal
161073,animal
161094,animal
16114,animal
161153,animal
161179,animal
161245,animal
161398,vegetable/herb
161566,animal
161603,vegetable/herb
161629,vegetable/herb
161770,vegetable/herb
161783,vegetable/herb
161787,animal
161818,vegetable/herb
