"feature","category"
"111941","walnut, turmeric, grape_fermented, lentil, cardamom, bay leaf, spice, Spenach, ginger, oregano"
"111992","beef, pea"
"112014","turmeric, pepper, anise, lettuce, cranberry, oregano"
"112022","langostino, lavender"
"112028","grain_fermented, cheddar cheese"
"112059","walnut, grape_fermented, lentil, cardamom, bay leaf, Spenach, oregano, poppy seed"
"112074","cheddar cheese"
"112081","veal"
"112092","beef, shrimp"
"11210","peanut, langostino, hing powder, cocoa seed, betel nut"
"112111","broccoli, walnut, peanut, bay leaf, Spenach, ginger, cocoa seed, oregano, poppy seed"
"112128","beef, veal"
"112130","grain_fermented"
"112139","cheddar cheese"
"112152","cream"
"112194","raspberry, oregano, cloves"
"11220","garlic, rice, pepper, oregano, veal, cloves"
"112205","beef, veal"
"112230","raspberry, strawberry, cardamom, butter, oregano, cloves"
"112252","cheddar cheese"
"112256","cheddar cheese"
"112290","pepper, anise, cardamom, spice, oregano, lemon balm"
"112298","pear, blueberry, walnut, anise, bay leaf, cranberry, oregano, apricot"
"112306","onion"
"112357","blueberry, walnut, grape_fermented, bay leaf, oregano, lemon balm"
"112396","turmeric, olive, cardamom, bay leaf, legume, Spenach, lavender, mint"
"112408","onion"
"112410","potato"
"112416","beef, rice, trout"
"112501","cardamom, ginger, avocado"
"112506","strawberry, mint"
"112526","walnut, grape_fermented, cardamom, bay leaf, ginger, avocado"
"112554","beef, grain_fermented, langostino, dill flower"
"112611","walnut, anise, apricot, radish greens, borage flower, guava, borage leaf, lemon balm, watercress, chive stem"
"112661","cardamom, ginger, avocado"
"112676","beef, Tilapia, chicken"
"112683","cheddar cheese"
"112730","turmeric, cardamom, ginger, avocado"
"112795","cheddar cheese"
"112893","guava"
"113033","bean, chive blossom"
"113040","raspberry, grape_fermented, lentil, cardamom, bay leaf, Spenach, oregano, poppy seed"
"113066","beef, squash blossom, veal"
"113162","carrot, blueberry, chia"
"113185","pepper, bay leaf, oregano"
"113214","garlic powder"
"113235","blueberry, cilantro, lemon balm"
"113269","cheddar cheese"
"11327","pepper, bean"
"113278","walnut, grape_fermented, lentil, olive, cardamom, bay leaf, legume, hing powder"
"113363","beef, veal"
"113472","cheddar cheese"
"113504","beef, veal"
"113527","cheddar cheese"
"113550","beef, dill, chive stem"
"113554","beef, Tilapia, chicken, pig, veal"
"11360","beef"
"113640","cheddar cheese"
"113654","milk_cow, yogurt_cow, cheddar cheese"
"113777","yogurt_cow"
"113793","blueberry, arugula, walnut, grape_fermented, bay leaf, oregano, radish greens, borage flower, guava, borage leaf, lemon balm, watercress"
"11381","cheddar cheese"
"113818","pig"
"11382","cheddar cheese"
"113964","cheddar cheese"
"113979","cheddar cheese"
"114039","peanut, lentil, anise, legume, butter, Spenach"
"114096","rosemary, walnut, bean, bay leaf, oregano, lemon balm"
"114111","cocoa seed"
"114113","trout, grain_fermented, cocoa seed"
"114159","betel nut leaf, walnut, turmeric, peanut, lentil, anise, olive, cardamom, bay leaf, legume"
"114163","milk_cow, cheddar cheese"
"114241","cheddar cheese"
