"Feature","category","Method"
"29300","Tomato","Top20_VIP_High"
"29412","Milk (skimmed)","Top20_VIP_High"
"295","Egg","Top20_VIP_High"
"29520","Vitamin kids","Top20_VIP_High"
"29573","Rice pops and whole milk","Top20_VIP_High"
"29679","Tuna Mayo Pasta","Top20_VIP_High"
"29690","Chicken stuffed with cheddar cheese-roasted potatoes and tomato sauce","Top20_VIP_High"
"2971","Chicken, Cucumber","Top20_VIP_High"
"298","Egg, Sandwich with egg-butter","Top20_VIP_High"
"29845","Chicken with boiled potatoes and tomato sauce","Top20_VIP_High"
"29857","Cream cheese","Top20_VIP_High"
"29879","Cornflakes and semi skimmed milk, Cornflakes and whole milk, Honey flakes, Honey flakes and semi skimmed milk, Honey flakes and whole milk","Top20_VIP_High"
"29951","Honey flakes and semi skimmed milk","Top20_VIP_High"
"30009","Cheddar Cheese","Top20_VIP_High"
"30197","Orange juice","Top20_VIP_High"
"30231","Orange juice","Top20_VIP_High"
"30385","Tomato","Top20_VIP_High"
"30531","Custard cream (based on ice cream)","Top20_VIP_High"
"30728","Macaroni Cheese","Top20_VIP_High"
"30778","Chicken stuffed with cheddar cheese-roasted potatoes and tomato sauce","Top20_VIP_High"
"30820","Vitamin kids","Top20_VIP_High"
"30854","Orange juice","Top20_VIP_High"
"30902","Apple and Mango juice","Top20_VIP_High"
"30992","Warburtons bread","Top20_VIP_High"
"31009","Sandwich with chicken-cream cheese","Top20_VIP_High"
"31018","Tomato","Top20_VIP_High"
"3103","Salmon with mashed potatoes and cheese sauce","Top20_VIP_High"
"31074","Schar bread","Top20_VIP_High"
"3119","Tuna Mayo Pasta","Top20_VIP_High"
"31214","Apple and Mango juice","Top20_VIP_High"
"31229","Apple and Mango juice","Top20_VIP_High"
"31279","Apple and Mango juice","Top20_VIP_High"
"31341","Chocolate Rice Pudding","Top20_VIP_High"
"31342","Chocolate Rice Pudding","Top20_VIP_High"
"31355","Chicken stuffed with cheddar cheese-roasted potatoes and tomato sauce, Fish Pie (cod-salmon) in a cheese sauce topped with mashed potatoes","Top20_VIP_High"
"31362","Custard cream (based on ice cream), Chocolate milk shake","Top20_VIP_High"
"31368","Custard cream (based on ice cream)","Top20_VIP_High"
"31433","Apple and Mango juice","Top20_VIP_High"
"31475","Vitamin kids","Top20_VIP_High"
"31484","butter, Cornflakes","Top20_VIP_High"
"31492","Apple juice","Top20_VIP_High"
"31549","Sandwich with cream cheese-butter","Top20_VIP_High"
"31649","Chicken Nuggets & Chips","Top20_VIP_High"
"31862","Honey flakes and whole milk, Rice pops and whole milk","Top20_VIP_High"
"31942","Salmon with mashed potatoes and cheese sauce","Top20_VIP_High"
"32031","Cornflakes and semi skimmed milk, Cornflakes and whole milk, Honey flakes and semi skimmed milk","Top20_VIP_High"
"32054","Vitamin kids","Top20_VIP_High"
"32147","Sandwich with cream cheese-cheddar cheese","Top20_VIP_High"
"32153","Rice pops","Top20_VIP_High"
