#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
13177	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:195593	46814	-1	0	209.154	1	0.901213	468.0	0	1454000.0	11510100.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf13177	-1	500_foods_SPECTRUMID2.mgf	1.67796				7	0	0.000350952	209.153	0	
3169	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:27929	51686	-1	0	261.144	1	0.901104	118.2	0	2090000.0	51504900.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf3169	-1	500_foods_SPECTRUMID2.mgf	0.233722				8	0	6.10352e-05	261.144	0	
4952	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:46350	8692	-1	0	345.213	1	0.900926	169.44	0	949000.0	198647000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf4952	-1	500_foods_SPECTRUMID2.mgf	0.265206				14	0	9.15527e-05	345.213	0	
8743	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:126120	19799	-1	0	443.272	1	0.900652	311.89	0	469900.0	444267000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf8743	-1	500_foods_SPECTRUMID2.mgf	0.413077				14	0	442.265	443.272	0	
15138	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:216393	28913	-1	0	548.346	1	0.900381	513.22	0	212600.0	31866700.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf15138	-1	500_foods_SPECTRUMID2.mgf	1.11308				9	0	0.000610352	548.345	0	
19452	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:415	12314	-1	0	160.181	1	0.900226	653.52	0	300000.0	11821600.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf19452	-1	500_foods_SPECTRUMID2.mgf	0.476299				5	0	7.62939e-05	160.181	0	
19368	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:234157	28147	-1	0	184.986	1	0.899968	644.39	0	55900.0	223244000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf19368	-1	500_foods_SPECTRUMID2.mgf	2.72205				5	0	0.00050354	184.985	0	
8811	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:129147	29893	-1	0	562.343	1	0.898708	315.25	0	320600.0	404897000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf8811	-1	500_foods_SPECTRUMID2.mgf	0.651223				13	0	561.336	562.343	0	
10304	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:159632	50305	-1	0	246.243	1	0.898653	386.89	0	77000.0	58857400.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf10304	-1	500_foods_SPECTRUMID2.mgf	1.1154				9	0	0.000274658	246.243	0	
5324	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:43339	7461	-1	0	334.179	1	0.898451	179.82	0	1584800.0	33816300.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf5324	-1	500_foods_SPECTRUMID2.mgf	2.55699				9	0	0.000854492	334.18	0	
